Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
126 Artist-Run Gallery,https://126gallery.com/,,-9.0494491,53.2772719,Galway,,Ireland,"Craft,Shopping,Art Gallery"
14 Henrietta Street,http://facebook.com/14HenriettaStreetDublin,+353(0)15240383,-6.270210905,53.35250667,Dublin,,Ireland,"Historic Houses and Castle,Castle"
2020 Art Gallery,https://2020curates.com/,3.53868E+11,-8.4801299,51.90143,Cork,,Ireland,"Craft,Shopping,Art Gallery"
Aasleagh Falls,,,-9.672464,53.618081,Mayo,Delphi,Ireland,Discovery Point
Abbeyderg Abbey and Graveyard,http://visitlongford.ie/listings/abbeyderg-abbey,3.53433E+11,-7.789106677,53.6334654,Longford,Kenagh,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Abbeyleix Heritage House,http://www.abbeyleixheritage.com,3.53579E+11,-7.3464114,52.9172919,Laois,Abbeyleix,Ireland,"Historic Houses and Castle,Castle"
Abbey Road Gardens,https://www.gardensofireland.org/directory/47,35351851111,-7.102184,52.264196,Waterford,Ferrybank,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Abbeyshrule Monastery,http://www.facebook.com/AbbeyshruleAbbey,3.53433E+11,-7.658347079,53.57969143,Longford,Abbeyshrule,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
ACET - Cork Language Centre International,http://acetireland.ie,3.53215E+11,-8.467479,51.902273,Cork,Cork City,Republic of Ireland,"Learning,Museums and Attraction"
Achill Archaeological Field School - Scoil Seand?l?il Acla,http://www.achill-fieldschool.com,3539843564,-10.1285782,53.9747652,Mayo,,Ireland,"Learning,Museums and Attraction"
Achill Experience and Aquarium,http://www.achillexperience.ie,3539843292,-10.080603,53.983983,Mayo,,Ireland,Zoos and Aquarium
Achill Heritage Centre,https://achillheritagecentre.wordpress.com,3.53863E+11,-9.9833712,53.9762269,Mayo,,Ireland,Museums and Attraction
Achill Island -Acaill,http://achilltourism.com/,+353(0)9820400,-9.993892943,53.95175264,Mayo,,Republic of Ireland,"Island,Offshore Island"
"Achill Island Blueway, Achill Island",https://www.facebook.com/BluewayIreland,+353(0)9825711,-10.12609045,53.97379138,Mayo,,Ireland,Beach
Achill Secret Garden,http://www.achillsecretgarden.com,3.53874E+11,-9.9595077,53.875656,Mayo,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Adare Franciscan Friary,http://www.adareheritagecentre.ie,,-8.779736133,52.55186692,Limerick,Adare,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Adare Heritage Centre,http://www.adareheritagecentre.ie,35361396666,-8.7898313,52.5647887,Limerick,Adare,Ireland,Museums and Attraction
Adelaide Memorial Church,http://www.carlowtourism.com,3.53599E+11,-6.778635,52.684946,Carlow,Myshall,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Adelaide Road Presbyterian Church,http://www.adelaideroadchurch.ie,+353(0)12694944,-6.258781,53.332501,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Adrian Cooke Classical Art Atelier,http://www.classicalartatelier.com,3.53877E+11,-7.250912,52.17701,Waterford,,Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Adrigole Arts,http://www.hungryhillgallery.com,3532760234,-9.7104121,51.6844057,Cork,,Ireland,"Craft,Shopping,Food Shops,Art Gallery"
Aghaboe Abbey,,3.53579E+11,-7.5140093,52.9222166,Laois,Aghaboe,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Agharinagh Inspirational Gardens,http://www.griffinsgardencentre.ie,3.53217E+11,-8.724551,51.912194,Cork,Dripsey,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Agricultural Heritage Display Centre,http://www.coolakayhouse.ie/museum,35312862423,-6.1880463,53.1667259,Wicklow,Enniskerry,Ireland,Museums and Attraction
Ahakista Air India Plane Disaster Memorial,http://livingthesheepsheadway.com/air-india-disaster-memorial,3532821489,-9.621448,51.59751,Cork,Ahakista,Republic of Ireland,Public Sculpture
Ahenny High Crosses,http://www.megalithicireland.com/High%20Cross%20Ahenny.htm,,-7.393333382,52.41253746,Tipperary,Ahenny,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Aillebrack Green Coast Beach 2019,http://www.cleancoastsireland.org,,-10.14014122,53.41647263,Galway,Ballyconneely,Ireland,Beach
Aillwee Cave & The Birds of Prey Centre,http://www.aillweecave.ie,3.53657E+11,-9.1436674,53.0891282,Clare,Ballyvaughan,Ireland,"Falconry,Nature and Wildlife,Natural Landscape,Walking"
Aillwee Cave & The Birds Of Prey Centre,http://www.aillweecave.ie,3.53657E+11,-9.143653,53.089126,Clare,Ballyvaughan,Republic of Ireland,"Learning,Museums and Attraction"
Aine Dunne - Fine Art Tapestry Weaver,http://www.ainedunneweaver.com,3.53879E+11,-6.351277,53.762114,Louth,Drogheda,Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Airfield Estate,http://www.airfield.ie,35319696666,-6.2369953,53.2881795,,Dundrum,Ireland,Visitor Farm
Airmid Natural Handmade Skincare,https://airmidsoap.com/pages/about-us,3.53892E+11,-9.2627951,53.0044789,Clare,Kilfenora,Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Alan Gaillard Stoneware Pottery,http://www.alangaillard.com,3539522786,-10.031529,53.503391,Galway,Clifden,Ireland,"Craft,Shopping,Food Shops,Shopping Centres and Department Store,Learning,Museums and Attraction"
Alix Gardners Cookery School,http://www.dublincookery.com,+353(0)16681553,-6.245333,53.329644,Dublin,Ballsbridge,Republic of Ireland,"Cooking,Cookery,Learning,Museums and Attraction"
Allihies Copper Mine Museum,http://www.acmm.ie/theminemuseum,3532773218,-10.045585,51.638933,Cork,Allihies,Republic of Ireland,Museums and Attraction
Aloha Surf School,http://www.surfschool.ie,3.53872E+11,-9.2861007,53.1174754,Clare,Fanore,Ireland,"Activity Operator,Kayaking,Kitesurfing,Windsurfing,Learning,Museums and Attraction,Surfing"
Alpha College of English,http://www.alphacollege.com,+353(0)18747024,-6.261824017,53.35520832,Dublin,,Republic of Ireland,"Learning,Museums and Attraction"
Altamont Gardens,http://www.heritageireland.ie/en/south-east/altamontgardens/,+353(0)599159444,-6.72083739,52.73578131,Carlow,Tullow,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Altar,,,-9.6438852,51.514061,Cork,Schull,Ireland,Discovery Point
Alternative Visions,http://alternativevisions.co.uk,3.53873E+11,-7.969439296,55.18327471,Donegal,Kill,Ireland,"Learning,Museums and Attraction,Photography"
Altidore Castle,https://www.ihh.ie/index.cfm/houses/house/name/Altidore%20Castle,3.53878E+11,-6.1381173,53.1106151,Wicklow,,Ireland,"Historic Houses and Castle,Castle"
AMOC Jewellery,http://www.amoc.ie,35312871515,-6.0625099,53.1443074,Wicklow,Greystones,Ireland,"Craft,Shopping,Food Shops,Shopping Centres and Department Store,Learning,Museums and Attraction"
Anam Cara Writer's and Artist's Retreat,http://www.anamcararetreat.com,3532774441,-9.9557065,51.6842538,Cork,Eyeries,Ireland,"Learning,Museums and Attraction"
An Blascaod M?r,,,-10.536,52.0895,Kerry,,Ireland,Discovery Point
An Ch?ibh Bheag (Cloghmore Pier),,,-9.9472967,53.880075,Mayo,,Ireland,Embarkation Point
