name,address,amenities1,amenities2,amenities3,amenities4,amenities5,amenities6,amenities7,amenities8,amenities9,amenities10,rooms1,rooms2,rooms3,rooms4,rooms5,rooms6,price,rating,numReviews,lat,lon
Blakehill House,Cong Ireland,1,2,,,,,,,,,Unknown,,,,,,69,5,2 reviews,53.5414206,-9.2873469
Drumhouse Lodge,"Knock House Rd, Knock Ireland",1,2,,,,,,,,,Unknown,,,,,, Available Upon Request,3.5,4 reviews,53.79124155,-8.91419229
Ballynona House,Midleton Ireland,1,2,,,,,,,,,Unknown,,,,,,50,5,5 reviews,51.9142741,-8.1700962
Annaswood B&B,"Cahir Scartana, Cahir Ireland",1,2,,,,,,,,,Unknown,,,,,,75,4.5,7 reviews,52.37796,-7.922561
Johnnys 12 House,"Barrack Hill, Buncrana Ireland",1,2,,,,,,,,,Unknown,,,,,, Available Upon Request,5,4 reviews,55.1194648,-7.4555276
Farnham House,"Farnham House 38 Farnham Road, Cavan 1226 Ireland",1,2,,,,,,,,,Unknown,,,,,,85,5,1 review,53.998102,-7.377416
Mccauls Bar & Guesthouse,"10 Bridge Street, Cavan Ireland",1,,,,,,,,,,Unknown,,,,,, Available Upon Request,3.5,18 reviews,53.9894727,-7.3622845
Ardrahan House,"Ownagarry, Killorglin Ireland",2,,,,,,,,,,Unknown,,,,,, Available Upon Request,5,1 review,52.106227,-9.789865
Carrick House B&B,"Carricknagore, Killybegs Ireland",2,,,,,,,,,,Unknown,,,,,, Available Upon Request,5,6 reviews,54.649848,-8.412672
Beal Na Mara Apartments,Ballyshannon Ireland,2,,,,,,,,,,Unknown,,,,,, Available Upon Request,4.5,3 reviews,54.501979,-8.1897659
Coill Maher Lake House,"03 Coill Maher, Mullans, Ballyshannon Ireland",2,,,,,,,,,,Unknown,,,,,,129,3.5,4 reviews,54.501152,-8.187528
Hillcrest Bed And Breakfast,"Cruit Island, Kincasslagh Ireland",2,,,,,,,,,,Unknown,,,,,, Available Upon Request,Unknown,Unknown,53.582062,-8.045371
Lag Dubh,"Cruit Island, Kincasslagh Ireland",2,,,,,,,,,,Unknown,,,,,, Available Upon Request,4.5,2 reviews,53.582062,-8.045371
Ard na Greine B&B,Cahir Ireland,2,,,,,,,,,,Unknown,,,,,, Available Upon Request,4,13 reviews,52.3749129,-7.9251412
Abbey View House,"Abbey View Strand Street, Youghal Ireland",2,,,,,,,,,,Unknown,,,,,,95,4.5,5 reviews,51.944628,-7.849732
Grangeview House B&B,Monaghan Ireland,2,,,,,,,,,,Unknown,,,,,,80,5,1 review,54.1610664,-6.946364848
Hotwell House,"Ballinakill, Enfield Ireland",2,,,,,,,,,,Unknown,,,,,, Available Upon Request,4.5,4 reviews,53.413848,-6.830831
Brookville Manor,"Brookville Manor Lisanisk Coolderry, Carrickmacross Ireland",2,,,,,,,,,,Unknown,,,,,,85,5,10 reviews,53.977975,-6.717694
Townley Hall Apartments,Slane Ireland,2,,,,,,,,,,Unknown,,,,,, Available Upon Request,4.5,5 reviews,53.7090675,-6.5426177
Old Parochial House,"Knockbridge, Dundalk Ireland",2,,,,,,,,,,Unknown,,,,,,80,4,1 review,53.9710631,-6.4867827
Cunninghams Guesthouse,"Number 9B Dublin Street Belfry Court, Kildare Ireland",19,27,38,56,55,78, Hair dryer,,,,Unknown,,,,,,80,5,10 reviews,53.198018,-6.842829
Halpins Town House,"S/N Bachelors Walk Wicklow Town, Leitrin Lopte, Wicklow Ireland",18,3,1,12,8,60,84,95,2,13,200,,,,,, Available Upon Request,4.5,21 reviews,52.984944,-6.340102
Railway House Bed and Breakfast,"Dominick Street, Mullingar Ireland",4,28,13,,,,,,,,Unknown,,,,,, Available Upon Request,4,15 reviews,53.5244476,-7.3467005
Cherrytree House B&B,"Off the R238, Moville F93 KOWH Ireland",4,,,,,,,,,,Unknown,,,,,,80,5,6 reviews,55.188571,-7.045251
Inishbofin House Hotel,"Connemara, Inishbofin H91 RK71 Ireland",3,1,12,43,35,61,65,94,,,203,201,200,,,,148,4,452 reviews,53.500049,-9.75018
The Loft Bar and B & B,"The Loft Pearse Street, Ballina Ireland",3,1,14,44,80,58,81,100,,,201,204,,,,,60,4.5,67 reviews,54.1138658,-9.1543416
Bounty Bar Accommodation,"Bridge Street Trim Co Meath, Trim Ireland",3,1,14,8,30,58,13,87,,,201,204,,,,,70,3.5,51 reviews,53.5560717,-6.7910359
Cill Chiarain Bed & Breakfast,"Listowel Road, Ballybunion Ireland",3,1,39,8,35,2,58,81,,,201,,,,,, Available Upon Request,4.5,5 reviews,52.5113175,-9.6738174
Crockets on the Quay,Ballina F26 Y3E9 Ireland,3,1,34,2,69,,,,,,Unknown,,,,,, Available Upon Request,3,5 reviews,51.712339,-8.627699
Take 2 Restaurant and Guest House,"Earl Street, Longford Ireland",3,1,34,2,69,,,,,,Unknown,,,,,, Available Upon Request,5,2 reviews,53.7256453,-7.7986566
Woodlands Bed & Breakfast,"Killomoran, Gort Ireland",3,4,8,45,81,13,87,99,,,Unknown,,,,,, Available Upon Request,5,20 reviews,53.068269,-8.821343
Failte B&B Claremorris,"Failte Ballindine Road Ard Clar, Claremorris Ireland",3,2,,,,,,,,,Unknown,,,,,, Available Upon Request,5,12 reviews,53.71667,-9
Garmisch,"Loughgeorge, Claregalway Ireland",3,2,,,,,,,,,Unknown,,,,,, Available Upon Request,4.5,11 reviews,53.35588475,-8.930193048
Kilronan Hostel,"Kilronan Village, Inis Mor, Province of Connacht H91 K7HW Ireland",3,4,12,14,60,84,95,85,30,79,203,201,200,,,, Available Upon Request,4.5,367 reviews,53.990046,-6.399705
An Creagan B&B,"An Creagan Baile Thiar, Province of Connacht Ireland",3,4,12,2,28,58,13,92,,,201,204,,,,, Available Upon Request,4.5,19 reviews,53.242606,-9.319618
Dilis Go Brath,"8 Tivoli Terrace, Tramore Ireland",3,8,32,35,2,58,13,87,,,Unknown,,,,,,120,5,12 reviews,52.1651653,-7.145948054
The Farnham Arms Hotel,"Main Street, Cavan Ireland",3,3,1,14,2,73,58, Currency exchange,,,201,200,,,,,148,3.5,157 reviews,53.9916334,-7.3600623
